"","Count","Words"
"not interested in",163,"not interested in"
"i still had",163,"i still had"
"yes i did",163,"yes i did"
"to say no",163,"to say no"
"have some fun",163,"have some fun"
"the country in",163,"the country in"
"place to start",163,"place to start"
"on the grounds",163,"on the grounds"
"your friends and",163,"your friends and"
"walk to the",163,"walk to the"
"so much in",163,"so much in"
"love for you",163,"love for you"
"i was to",163,"i was to"
"was a pretty",163,"was a pretty"
"then i have",163,"then i have"
"say that it",163,"say that it"
"the place of",163,"the place of"
"an episode of",163,"an episode of"
"you should follow",163,"you should follow"
"was on my",163,"was on my"
"they didn't have",163,"they didn't have"
"is so cute",163,"is so cute"
"i was given",163,"i was given"
"you do the",163,"you do the"
"grew up with",163,"grew up with"
"part of its",163,"part of its"
"on her face",163,"on her face"
"and i wish",163,"and i wish"
"safe to say",163,"safe to say"
"what does this",163,"what does this"
"going through a",163,"going through a"
"across the nation",163,"across the nation"
"to the person",163,"to the person"
"of the victims",163,"of the victims"
"versions of the",163,"versions of the"
"the past four",163,"the past four"
"to have her",163,"to have her"
"want to stay",163,"want to stay"
"and they all",163,"and they all"
"thinking about how",163,"thinking about how"
"as a group",163,"as a group"
"a safe and",163,"a safe and"
"won't be the",163,"won't be the"
"as important as",163,"as important as"
"a loss to",163,"a loss to"
"the daughter of",163,"the daughter of"
"but when he",163,"but when he"
"i'm sure it",163,"i'm sure it"
"what's the best",163,"what's the best"
"and will not",163,"and will not"
"added that the",163,"added that the"
"the case and",163,"the case and"
"does anyone have",163,"does anyone have"
"in a written",163,"in a written"
"when they get",162,"when they get"
"i felt a",162,"i felt a"
"but i wasn't",162,"but i wasn't"
"to be careful",162,"to be careful"
"to say something",162,"to say something"
"the interests of",162,"the interests of"
"battle of the",162,"battle of the"
"to announce the",162,"to announce the"
"so if i",162,"so if i"
"to take me",162,"to take me"
"come from a",162,"come from a"
"soon as we",162,"soon as we"
"however it is",162,"however it is"
"makes it a",162,"makes it a"
"of the early",162,"of the early"
"to bring it",162,"to bring it"
"talk about how",162,"talk about how"
"we could do",162,"we could do"
"for years i",162,"for years i"
"they are now",162,"they are now"
"then you are",162,"then you are"
"are responsible for",162,"are responsible for"
"the world with",162,"the world with"
"sit back and",162,"sit back and"
"hard to do",162,"hard to do"
"make me laugh",162,"make me laugh"
"my blog and",162,"my blog and"
"and we got",162,"and we got"
"the next thing",162,"the next thing"
"need to look",162,"need to look"
"the hospital and",162,"the hospital and"
"you could do",162,"you could do"
"him for the",162,"him for the"
"will get you",162,"will get you"
"to make our",162,"to make our"
"for what it",162,"for what it"
"for more details",162,"for more details"
"an important part",162,"an important part"
"at this stage",162,"at this stage"
"the person you",162,"the person you"
"i'm not in",162,"i'm not in"
"more to go",162,"more to go"
"like i had",162,"like i had"
"anyone in the",162,"anyone in the"
"it was no",162,"it was no"
"that most people",162,"that most people"
"they said they",162,"they said they"
"instead of just",162,"instead of just"
"to be treated",162,"to be treated"
"i feel i",162,"i feel i"
"any number of",162,"any number of"
"like any other",162,"like any other"
"and focus on",162,"and focus on"
"the book was",162,"the book was"
"there is little",162,"there is little"
"to avoid a",162,"to avoid a"
"when one of",162,"when one of"
"in the regular",162,"in the regular"
"way to end",162,"way to end"
"get caught up",162,"get caught up"
"when you come",162,"when you come"
"thought we were",162,"thought we were"
"he was at",162,"he was at"
"you can't see",162,"you can't see"
"home with a",162,"home with a"
"in january and",162,"in january and"
"forward to meeting",162,"forward to meeting"
"up to years",162,"up to years"
"want people to",162,"want people to"
"she's going to",162,"she's going to"
"listening to music",162,"listening to music"
"she went to",162,"she went to"
"no one to",162,"no one to"
"to the mall",162,"to the mall"
"happy valentines day",162,"happy valentines day"
"would say that",162,"would say that"
"our facebook page",162,"our facebook page"
"in prison for",162,"in prison for"
"fat g saturated",162,"fat g saturated"
"the year the",162,"the year the"
"bill that would",162,"bill that would"
"finished with points",162,"finished with points"
"a gift card",161,"a gift card"
"reference to the",161,"reference to the"
"as little as",161,"as little as"
"what i'm talking",161,"what i'm talking"
"wouldn't have been",161,"wouldn't have been"
"of you know",161,"of you know"
"that made the",161,"that made the"
"with this one",161,"with this one"
"only if you",161,"only if you"
"i'll be able",161,"i'll be able"
"well if you",161,"well if you"
"for all those",161,"for all those"
"came out and",161,"came out and"
"of the card",161,"of the card"
"a wide variety",161,"a wide variety"
"don't try to",161,"don't try to"
"was used to",161,"was used to"
"to the hotel",161,"to the hotel"
"see if we",161,"see if we"
"there it was",161,"there it was"
"eye out for",161,"eye out for"
"had never been",161,"had never been"
"both of which",161,"both of which"
"say it is",161,"say it is"
"was working on",161,"was working on"
"us to do",161,"us to do"
"you realize that",161,"you realize that"
"i think if",161,"i think if"
"feel sorry for",161,"feel sorry for"
"tell us about",161,"tell us about"
"to me about",161,"to me about"
"no longer have",161,"no longer have"
"today for the",161,"today for the"
"a large number",161,"a large number"
"hands of the",161,"hands of the"
"of the total",161,"of the total"
"are those who",161,"are those who"
"it's amazing how",161,"it's amazing how"
"reason why i",161,"reason why i"
"of the 20th",161,"of the 20th"
"headed back to",161,"headed back to"
"of work and",161,"of work and"
"women and children",161,"women and children"
"so ready for",161,"so ready for"
"off on the",161,"off on the"
"food and drug",161,"food and drug"
"want to meet",161,"want to meet"
"then it is",161,"then it is"
"i call it",161,"i call it"
"wouldn't be able",161,"wouldn't be able"
"i go back",161,"i go back"
"be thankful for",161,"be thankful for"
"and none of",161,"and none of"
"and lack of",161,"and lack of"
"and listening to",161,"and listening to"
"chapter of the",161,"chapter of the"
"when i hear",161,"when i hear"
"in the am",161,"in the am"
"and can't wait",161,"and can't wait"
"of the students",161,"of the students"
"they tend to",161,"they tend to"
"and was the",161,"and was the"
"me all the",161,"me all the"
"i really appreciate",161,"i really appreciate"
"i'm sure the",161,"i'm sure the"
"of food and",161,"of food and"
"still going to",161,"still going to"
"the area and",161,"the area and"
"served as the",161,"served as the"
"but this year",161,"but this year"
"base of the",161,"base of the"
"i heard that",161,"i heard that"
"in the latest",161,"in the latest"
"me i know",161,"me i know"
"and for that",161,"and for that"
"and what a",161,"and what a"
"will lead to",161,"will lead to"
"in san antonio",161,"in san antonio"
"will return to",161,"will return to"
"still waiting for",161,"still waiting for"
"have not yet",161,"have not yet"
"over the country",161,"over the country"
"let me get",161,"let me get"
"of the ball",161,"of the ball"
"tune in to",161,"tune in to"
"the north dakota",161,"the north dakota"
"passes for yards",161,"passes for yards"
"officials said they",161,"officials said they"
"to your tweets",161,"to your tweets"
"why i was",160,"why i was"
"of the river",160,"of the river"
"to go but",160,"to go but"
"as some of",160,"as some of"
"to miss the",160,"to miss the"
"this part of",160,"this part of"
"a good sign",160,"a good sign"
"really don't want",160,"really don't want"
"not only that",160,"not only that"
"pretending to be",160,"pretending to be"
"while she was",160,"while she was"
"the people and",160,"the people and"
"the launch of",160,"the launch of"
"like to go",160,"like to go"
"we can have",160,"we can have"
"in the very",160,"in the very"
"them as a",160,"them as a"
"was still in",160,"was still in"
"with the people",160,"with the people"
"the same place",160,"the same place"
"a wonderful weekend",160,"a wonderful weekend"
"ends of the",160,"ends of the"
"you do to",160,"you do to"
"we did a",160,"we did a"
"saturday and sunday",160,"saturday and sunday"
"this year as",160,"this year as"
"my high school",160,"my high school"
"cause of death",160,"cause of death"
"another one of",160,"another one of"
"feeling a little",160,"feeling a little"
"will never forget",160,"will never forget"
"but it just",160,"but it just"
"which is to",160,"which is to"
"because you have",160,"because you have"
"i got in",160,"i got in"
"those people who",160,"those people who"
"home from school",160,"home from school"
"to capture the",160,"to capture the"
"away in the",160,"away in the"
"you start to",160,"you start to"
"don't let the",160,"don't let the"
"will be given",160,"will be given"
"it's a shame",160,"it's a shame"
"on her blog",160,"on her blog"
"least one of",160,"least one of"
"in the course",160,"in the course"
"work for you",160,"work for you"
"the team in",160,"the team in"
"can see how",160,"can see how"
"i want them",160,"i want them"
"and have fun",160,"and have fun"
"of the matter",160,"of the matter"
"very easy to",160,"very easy to"
"to go i",160,"to go i"
"what was happening",160,"what was happening"
"for in the",160,"for in the"
"into the house",160,"into the house"
"the company to",160,"the company to"
"trying to help",160,"trying to help"
"they must be",160,"they must be"
"to go get",160,"to go get"
"the killing of",160,"the killing of"
"him to get",160,"him to get"
"will be going",160,"will be going"
"able to help",160,"able to help"
"she said and",160,"she said and"
"the glory of",160,"the glory of"
"is necessary to",160,"is necessary to"
"will go on",160,"will go on"
"is there anything",160,"is there anything"
"to do on",160,"to do on"
"than two years",160,"than two years"
"take some time",160,"take some time"
"hours in the",160,"hours in the"
"at the corner",160,"at the corner"
"as the best",160,"as the best"
"as the most",160,"as the most"
"chair of the",160,"chair of the"
"love you i",160,"love you i"
"always be a",160,"always be a"
"again for the",160,"again for the"
"do with a",160,"do with a"
"were part of",160,"were part of"
"if he can",160,"if he can"
"it i love",160,"it i love"
"in the general",160,"in the general"
"it like a",160,"it like a"
"remains to be",160,"remains to be"
"you liked it",160,"you liked it"
"make it out",160,"make it out"
"games in the",160,"games in the"
"the third period",160,"the third period"
"to comply with",160,"to comply with"
"he said there",160,"he said there"
"night i was",159,"night i was"
"it was probably",159,"it was probably"
"years ago in",159,"years ago in"
"wanted it to",159,"wanted it to"
"you just want",159,"you just want"
"this is for",159,"this is for"
"so what are",159,"so what are"
"that when the",159,"that when the"
"connection to the",159,"connection to the"
"in its own",159,"in its own"
"long time i",159,"long time i"
"can do for",159,"can do for"
"of the office",159,"of the office"
"can't make it",159,"can't make it"
"for that i",159,"for that i"
"i also love",159,"i also love"
"to say i'm",159,"to say i'm"
"said i am",159,"said i am"
"it would seem",159,"it would seem"
"years from now",159,"years from now"
"about being a",159,"about being a"
"any type of",159,"any type of"
"appear to have",159,"appear to have"
"you can hear",159,"you can hear"
"and had been",159,"and had been"
"to be great",159,"to be great"
"today we are",159,"today we are"
"are you talking",159,"are you talking"
"can you say",159,"can you say"
"a crowd of",159,"a crowd of"
"in a time",159,"in a time"
"worked in the",159,"worked in the"
"her in a",159,"her in a"
"the events of",159,"the events of"
"the same person",159,"the same person"
"for too long",159,"for too long"
"the most famous",159,"the most famous"
"to be put",159,"to be put"
"also be a",159,"also be a"
"and there will",159,"and there will"
"was pretty good",159,"was pretty good"
"so many other",159,"so many other"
"is the third",159,"is the third"
"play the game",159,"play the game"
"looking for some",159,"looking for some"
"a professor of",159,"a professor of"
"on the third",159,"on the third"
"while i am",159,"while i am"
"takes place in",159,"takes place in"
"step in the",159,"step in the"
"way into the",159,"way into the"
"the future is",159,"the future is"
"as they can",159,"as they can"
"to the conclusion",159,"to the conclusion"
"the conclusion that",159,"the conclusion that"
"much of his",159,"much of his"
"any of us",159,"any of us"
"i think there's",159,"i think there's"
"said that it",159,"said that it"
"served in the",159,"served in the"
"work with a",159,"work with a"
"a story of",159,"a story of"
"analysis of the",159,"analysis of the"
"for the long",159,"for the long"
"can make you",159,"can make you"
"a recipe for",159,"a recipe for"
"right to be",159,"right to be"
"ready for some",159,"ready for some"
"in one place",159,"in one place"
"to new jersey",159,"to new jersey"
"single one of",159,"single one of"
"he says i",159,"he says i"
"me what i",159,"me what i"
"to fill in",159,"to fill in"
"we didn't get",159,"we didn't get"
"you should know",159,"you should know"
"both of you",159,"both of you"
"what if the",159,"what if the"
"stand up for",159,"stand up for"
"has made a",159,"has made a"
"i were to",159,"i were to"
"to play at",159,"to play at"
"there were two",159,"there were two"
"in the snow",159,"in the snow"
"do all the",159,"do all the"
"us and we",159,"us and we"
"a degree in",159,"a degree in"
"are on a",159,"are on a"
"for a night",159,"for a night"
"years in a",159,"years in a"
"never want to",159,"never want to"
"goes out to",159,"goes out to"
"really going to",159,"really going to"
"a lot easier",159,"a lot easier"
"to the movies",159,"to the movies"
"the day you",159,"the day you"
"that's a great",159,"that's a great"
"i missed you",159,"i missed you"
"the day it",158,"the day it"
"because of it",158,"because of it"
"tied to the",158,"tied to the"
"days in a",158,"days in a"
"that was an",158,"that was an"
"but we do",158,"but we do"
"now i need",158,"now i need"
"on for a",158,"on for a"
"i just started",158,"i just started"
"some type of",158,"some type of"
"friends in the",158,"friends in the"
"occurred to me",158,"occurred to me"
"the sounds of",158,"the sounds of"
"get the idea",158,"get the idea"
"just in the",158,"just in the"
"for another day",158,"for another day"
"right at the",158,"right at the"
"on either side",158,"on either side"
"but they also",158,"but they also"
"i might not",158,"i might not"
"high school i",158,"high school i"
"look at all",158,"look at all"
"in the high",158,"in the high"
"to my mom",158,"to my mom"
"seem to get",158,"seem to get"
"many people who",158,"many people who"
"in his book",158,"in his book"
"allows us to",158,"allows us to"
"of the women",158,"of the women"
"of the moment",158,"of the moment"
"i can't go",158,"i can't go"
"a small bowl",158,"a small bowl"
"a return to",158,"a return to"
"of the real",158,"of the real"
"back with a",158,"back with a"
"is about a",158,"is about a"
"all the great",158,"all the great"
"your thoughts on",158,"your thoughts on"
"you happen to",158,"you happen to"
"my mother and",158,"my mother and"
"little or no",158,"little or no"
"is that in",158,"is that in"
"has been going",158,"has been going"
"qualify for the",158,"qualify for the"
"to work i",158,"to work i"
"from the outside",158,"from the outside"
"we get the",158,"we get the"
"was sent to",158,"was sent to"
"make a great",158,"make a great"
"from being a",158,"from being a"
"is a former",158,"is a former"
"that for a",158,"that for a"
"a big difference",158,"a big difference"
"is not for",158,"is not for"
"and he would",158,"and he would"
"they told me",158,"they told me"
"the housing market",158,"the housing market"
"had more than",158,"had more than"
"day and night",158,"day and night"
"record in the",158,"record in the"
"they had no",158,"they had no"
"and what you",158,"and what you"
"and all but",158,"and all but"
"is survived by",158,"is survived by"
"down with a",158,"down with a"
"now i can't",158,"now i can't"
"the window and",158,"the window and"
"of people and",158,"of people and"
"first quarter of",158,"first quarter of"
"than the one",158,"than the one"
"make you a",158,"make you a"
"of a year",158,"of a year"
"the wall and",158,"the wall and"
"but what if",158,"but what if"
"we did it",158,"we did it"
"he might be",158,"he might be"
"i really really",158,"i really really"
"you the best",158,"you the best"
"salt lake city",158,"salt lake city"
"me about the",158,"me about the"
"do you love",158,"do you love"
"released by the",158,"released by the"
"long time no",158,"long time no"
"in the land",158,"in the land"
"can get to",158,"can get to"
"a pleasure to",158,"a pleasure to"
"and charged with",158,"and charged with"
"was a bad",158,"was a bad"
"maybe we can",158,"maybe we can"
"a plan for",158,"a plan for"
"the beastie boys",158,"the beastie boys"
"and let us",158,"and let us"
"and made it",158,"and made it"
"the last month",158,"the last month"
"mad at me",158,"mad at me"
"the new album",158,"the new album"
"my last tweet",158,"my last tweet"
"to be going",157,"to be going"
"caught up with",157,"caught up with"
"as often as",157,"as often as"
"i mean the",157,"i mean the"
"to find an",157,"to find an"
"and how i",157,"and how i"
"i am too",157,"i am too"
"well i am",157,"well i am"
"of you that",157,"of you that"
"since i am",157,"since i am"
"are just as",157,"are just as"
"heard about the",157,"heard about the"
"what he has",157,"what he has"
"the construction of",157,"the construction of"
"to the main",157,"to the main"
"is it really",157,"is it really"
"listening to a",157,"listening to a"
"and i loved",157,"and i loved"
"here is that",157,"here is that"
"the church of",157,"the church of"
"is even more",157,"is even more"
"take time to",157,"take time to"
"be at least",157,"be at least"
"being one of",157,"being one of"
"we were so",157,"we were so"
"from the back",157,"from the back"
"which had been",157,"which had been"
"a week after",157,"a week after"
"me from the",157,"me from the"
"is set for",157,"is set for"
"the roof of",157,"the roof of"
"i never knew",157,"i never knew"
"he said i'm",157,"he said i'm"
"what's the point",157,"what's the point"
"to take part",157,"to take part"
"they tried to",157,"they tried to"
"know i will",157,"know i will"
"at a.m and",157,"at a.m and"
"tells the story",157,"tells the story"
"we may have",157,"we may have"
"to you to",157,"to you to"
"since it is",157,"since it is"
"end up being",157,"end up being"
"think we are",157,"think we are"
"that may have",157,"that may have"
"run to the",157,"run to the"
"we've had a",157,"we've had a"
"the team that",157,"the team that"
"it is quite",157,"it is quite"
"built in the",157,"built in the"
"i couldn't get",157,"i couldn't get"
"you up to",157,"you up to"
"not only for",157,"not only for"
"you listen to",157,"you listen to"
"fans of the",157,"fans of the"
"rest of his",157,"rest of his"
"that if he",157,"that if he"
"took care of",157,"took care of"
"have to live",157,"have to live"
"try and get",157,"try and get"
"is sure to",157,"is sure to"
"of the class",157,"of the class"
"it's about the",157,"it's about the"
"i heard a",157,"i heard a"
"have time for",157,"have time for"
"a new day",157,"a new day"
"to give to",157,"to give to"
"you want your",157,"you want your"
"never seen a",157,"never seen a"
"make sure it",157,"make sure it"
"that's part of",157,"that's part of"
"him to do",157,"him to do"
"in the lobby",157,"in the lobby"
"that time of",157,"that time of"
"in the legislature",157,"in the legislature"
"it up for",157,"it up for"
"to say we",157,"to say we"
"i couldn't be",157,"i couldn't be"
"are you on",157,"are you on"
"forward to this",157,"forward to this"
"under the influence",157,"under the influence"
"to million in",157,"to million in"
"if only i",157,"if only i"
"this day in",157,"this day in"
"couldn't agree more",157,"couldn't agree more"
"need more followers",157,"need more followers"
"last year for",156,"last year for"
"like to make",156,"like to make"
"you are one",156,"you are one"
"to let him",156,"to let him"
"ever going to",156,"ever going to"
"you know your",156,"you know your"
"the shadow of",156,"the shadow of"
"all for the",156,"all for the"
"excited about this",156,"excited about this"
"this one i",156,"this one i"
"water in the",156,"water in the"
"too much and",156,"too much and"
"and made the",156,"and made the"
"the rule of",156,"the rule of"
"my hands on",156,"my hands on"
"of him and",156,"of him and"
"a day for",156,"a day for"
"stuck in a",156,"stuck in a"
"to the media",156,"to the media"
"to pay more",156,"to pay more"
"order to make",156,"order to make"
"so we had",156,"so we had"
"so thankful for",156,"so thankful for"
"an old friend",156,"an old friend"
"though i am",156,"though i am"
"health care reform",156,"health care reform"
"leave you with",156,"leave you with"
"there i was",156,"there i was"
"i just thought",156,"i just thought"
"as she was",156,"as she was"
"we look at",156,"we look at"
"on thursday night",156,"on thursday night"
"decided it was",156,"decided it was"
"of the government",156,"of the government"
"as there are",156,"as there are"
"out to me",156,"out to me"
"so you have",156,"so you have"
"the world we",156,"the world we"
"a night of",156,"a night of"
"will be done",156,"will be done"
"always looking for",156,"always looking for"
"show you how",156,"show you how"
"sure you have",156,"sure you have"
"if not for",156,"if not for"
"new york state",156,"new york state"
"on social media",156,"on social media"
"and while the",156,"and while the"
"of it the",156,"of it the"
"of the highest",156,"of the highest"
"as they say",156,"as they say"
"the church and",156,"the church and"
"an email from",156,"an email from"
"so long to",156,"so long to"
"is just not",156,"is just not"
"probably one of",156,"probably one of"
"i never had",156,"i never had"
"wake of the",156,"wake of the"
"respect for the",156,"respect for the"
"give her a",156,"give her a"
"is the story",156,"is the story"
"in a country",156,"in a country"
"release of the",156,"release of the"
"there isn't a",156,"there isn't a"
"from the time",156,"from the time"
"care for the",156,"care for the"
"what we did",156,"what we did"
"the kids to",156,"the kids to"
"was back in",156,"was back in"
"to stay at",156,"to stay at"
"this movie is",156,"this movie is"
"think i should",156,"think i should"
"far so good",156,"far so good"
"ready to start",156,"ready to start"
"is perfect for",156,"is perfect for"
"don't tell me",156,"don't tell me"
"i am having",156,"i am having"
"do it but",156,"do it but"
"hard to tell",156,"hard to tell"
"hour or so",156,"hour or so"
"said that if",156,"said that if"
"it's like the",156,"it's like the"
"to a point",156,"to a point"
"knew he was",156,"knew he was"
"i had this",156,"i had this"
"at least five",156,"at least five"
"wish it was",156,"wish it was"
"is all i",156,"is all i"
"if he doesn't",156,"if he doesn't"
"posted on the",156,"posted on the"
"to go along",156,"to go along"
"be looking for",156,"be looking for"
"i can't make",156,"i can't make"
"a few blocks",156,"a few blocks"
"last year at",156,"last year at"
"this week at",156,"this week at"
"the oven and",156,"the oven and"
"forward to reading",156,"forward to reading"
"matter how many",156,"matter how many"
"in on a",156,"in on a"
"in the city's",156,"in the city's"
"in line for",156,"in line for"
"back to bed",156,"back to bed"
"to say hi",156,"to say hi"
"game for the",156,"game for the"
"get a follow",156,"get a follow"
"so far and",155,"so far and"
"much more to",155,"much more to"
"the man in",155,"the man in"
"and talk to",155,"and talk to"
"able to work",155,"able to work"
"to be exact",155,"to be exact"
"with all your",155,"with all your"
"your heart and",155,"your heart and"
"the store and",155,"the store and"
"from the hospital",155,"from the hospital"
"am so glad",155,"am so glad"
"and according to",155,"and according to"
"of this book",155,"of this book"
"during world war",155,"during world war"
"how it was",155,"how it was"
"is really a",155,"is really a"
"because i want",155,"because i want"
"been a bit",155,"been a bit"
"i also think",155,"i also think"
"when is the",155,"when is the"
"to take her",155,"to take her"
"this morning to",155,"this morning to"
"it in your",155,"it in your"
"be great to",155,"be great to"
"we know what",155,"we know what"
"i said to",155,"i said to"
"more than ever",155,"more than ever"
"be a huge",155,"be a huge"
"the morning of",155,"the morning of"
"who he is",155,"who he is"
"at about p.m",155,"at about p.m"
"probably the best",155,"probably the best"
"has led to",155,"has led to"
"i had it",155,"i had it"
"or go to",155,"or go to"
"these people are",155,"these people are"
"each other for",155,"each other for"
"heck of a",155,"heck of a"
"of having to",155,"of having to"
"take you to",155,"take you to"
"contact with the",155,"contact with the"
"of all ages",155,"of all ages"
"to do list",155,"to do list"
"and add the",155,"and add the"
"when you're in",155,"when you're in"
"the school of",155,"the school of"
"a little and",155,"a little and"
"click here to",155,"click here to"
"other end of",155,"other end of"
"it is as",155,"it is as"
"for it is",155,"for it is"
"get up to",155,"get up to"
"don't think we",155,"don't think we"
"will do it",155,"will do it"
"and it can",155,"and it can"
"we are excited",155,"we are excited"
"don't think i've",155,"don't think i've"
"of the previous",155,"of the previous"
"to be quite",155,"to be quite"
"that those who",155,"that those who"
"i hear the",155,"i hear the"
"a food processor",155,"a food processor"
"get the chance",155,"get the chance"
"involved with the",155,"involved with the"
"the old man",155,"the old man"
"issue of the",155,"issue of the"
"which is in",155,"which is in"
"and that you",155,"and that you"
"i'm proud of",155,"i'm proud of"
"is only the",155,"is only the"
"what do we",155,"what do we"
"right around the",155,"right around the"
"away with the",155,"away with the"
"be included in",155,"be included in"
"though i was",155,"though i was"
"if you take",155,"if you take"
"going to find",155,"going to find"
"be sent to",155,"be sent to"
"the house i",155,"the house i"
"i noticed that",155,"i noticed that"
"i remember that",155,"i remember that"
"again this year",155,"again this year"
"the appearance of",155,"the appearance of"
"the best things",155,"the best things"
"and then she",155,"and then she"
"in every way",155,"in every way"
"caused by the",155,"caused by the"
"dreams come true",155,"dreams come true"
"need to change",155,"need to change"
"the job of",155,"the job of"
"out to all",155,"out to all"
"said i would",155,"said i would"
"can do the",155,"can do the"
"in the yard",155,"in the yard"
"playing with the",155,"playing with the"
"thing i have",155,"thing i have"
"he hopes to",155,"he hopes to"
"sitting on a",155,"sitting on a"
"got off the",155,"got off the"
"house and the",155,"house and the"
"of that is",155,"of that is"
"it is you",155,"it is you"
"on the rise",155,"on the rise"
"much for your",155,"much for your"
"front of him",155,"front of him"
"because it's a",155,"because it's a"
"been known to",155,"been known to"
"have to change",155,"have to change"
"i couldn't find",155,"i couldn't find"
"ralph waldo emerson",155,"ralph waldo emerson"
"now on to",155,"now on to"
"said i just",155,"said i just"
"what a wonderful",155,"what a wonderful"
"has said that",155,"has said that"
"enjoy your day",155,"enjoy your day"
"she said but",155,"she said but"
"in my bed",155,"in my bed"
"in three years",155,"in three years"
"would make my",155,"would make my"
"are not in",154,"are not in"
"with a large",154,"with a large"
"to compete with",154,"to compete with"
"the latest in",154,"the latest in"
"about all of",154,"about all of"
"to say goodbye",154,"to say goodbye"
"in the army",154,"in the army"
"quite a lot",154,"quite a lot"
"in my case",154,"in my case"
"from the book",154,"from the book"
"not only in",154,"not only in"
"think about that",154,"think about that"
"is made up",154,"is made up"
"when the time",154,"when the time"
"a shot of",154,"a shot of"
"know if it",154,"know if it"
"answer to the",154,"answer to the"
"to speak with",154,"to speak with"
"is time for",154,"is time for"
"but because of",154,"but because of"
"thought to be",154,"thought to be"
"got a few",154,"got a few"
"the world would",154,"the world would"
"with regard to",154,"with regard to"
"right now we",154,"right now we"
"or so i",154,"or so i"
"to post a",154,"to post a"
"and i mean",154,"and i mean"
"at this moment",154,"at this moment"
"could make it",154,"could make it"
"as i love",154,"as i love"
"on me and",154,"on me and"
"a couple years",154,"a couple years"
"not like the",154,"not like the"
"in danger of",154,"in danger of"
"to be this",154,"to be this"
"we will get",154,"we will get"
"same as the",154,"same as the"
"hope for the",154,"hope for the"
"works for me",154,"works for me"
"you just can't",154,"you just can't"
"the highlight of",154,"the highlight of"
"did not make",154,"did not make"
"what i've been",154,"what i've been"
"i've been waiting",154,"i've been waiting"
"have anything to",154,"have anything to"
"time i am",154,"time i am"
"straight to the",154,"straight to the"
"the american dream",154,"the american dream"
"be enough to",154,"be enough to"
"the earth and",154,"the earth and"
"his life and",154,"his life and"
"if i'm not",154,"if i'm not"
"best place to",154,"best place to"
"wasn't able to",154,"wasn't able to"
"good morning to",154,"good morning to"
"i was little",154,"i was little"
"the depths of",154,"the depths of"
"so many great",154,"so many great"
"a very important",154,"a very important"
"be involved in",154,"be involved in"
"trying to take",154,"trying to take"
"what he had",154,"what he had"
"a lot for",154,"a lot for"
"let's get it",154,"let's get it"
"members of congress",154,"members of congress"
"they would not",154,"they would not"
"we had been",154,"we had been"
"said that i",154,"said that i"
"in what is",154,"in what is"
"and off the",154,"and off the"
"i started with",154,"i started with"
"this is very",154,"this is very"
"in the eastern",154,"in the eastern"
"things i have",154,"things i have"
"but in this",154,"but in this"
"the end zone",154,"the end zone"
"i'm not gonna",154,"i'm not gonna"
"out if you",154,"out if you"
"look at how",154,"look at how"
"which was the",154,"which was the"
"last year it",154,"last year it"
"make a good",154,"make a good"
"can afford to",154,"can afford to"
"even have to",154,"even have to"
"in the garage",154,"in the garage"
"are looking to",154,"are looking to"
"to the area",154,"to the area"
"of the art",154,"of the art"
"a job and",154,"a job and"
"that is one",154,"that is one"
"i had so",154,"i had so"
"on how much",154,"on how much"
"to see his",154,"to see his"
"they go to",154,"they go to"
"that the best",154,"that the best"
"none of these",154,"none of these"
"been a fan",154,"been a fan"
"the weekend and",154,"the weekend and"
"that's the only",154,"that's the only"
"that even if",154,"that even if"
"down for the",154,"down for the"
"this season the",154,"this season the"
"in trying to",154,"in trying to"
"the 19th century",154,"the 19th century"
"copies of the",154,"copies of the"
"wait to be",154,"wait to be"
"the feeling that",154,"the feeling that"
"to come by",154,"to come by"
"is no such",154,"is no such"
"the same and",154,"the same and"
"thanks for a",154,"thanks for a"
"a better way",154,"a better way"
"the state in",154,"the state in"
"me i think",154,"me i think"
"people in this",154,"people in this"
"late last year",154,"late last year"
"of the san",154,"of the san"
"was wearing a",154,"was wearing a"
"to take off",154,"to take off"
"just got the",154,"just got the"
"have to leave",154,"have to leave"
"going to watch",154,"going to watch"
"know of any",154,"know of any"
"to the federal",154,"to the federal"
"thanks a lot",154,"thanks a lot"
"opposition to the",154,"opposition to the"
"follow back please",154,"follow back please"
"ass ass ass",154,"ass ass ass"
"that's exactly what",153,"that's exactly what"
"brought to the",153,"brought to the"
"the other person",153,"the other person"
"in place to",153,"in place to"
"to change it",153,"to change it"
"don't get to",153,"don't get to"
"with my life",153,"with my life"
"week and i",153,"week and i"
"time of day",153,"time of day"
"not the most",153,"not the most"
"about it in",153,"about it in"
"of my first",153,"of my first"
"have a huge",153,"have a huge"
"it is with",153,"it is with"
"may be in",153,"may be in"
"a type of",153,"a type of"
"told me about",153,"told me about"
"for to minutes",153,"for to minutes"
"day with a",153,"day with a"
"that was it",153,"that was it"
"had the most",153,"had the most"
"to be involved",153,"to be involved"
"same time the",153,"same time the"
"i'm such a",153,"i'm such a"
"who have a",153,"who have a"
"decided to give",153,"decided to give"
"for a man",153,"for a man"
"i'm thinking of",153,"i'm thinking of"
"growing number of",153,"growing number of"
"me like a",153,"me like a"
"remainder of the",153,"remainder of the"
"just so you",153,"just so you"
"with my dad",153,"with my dad"
"about a dozen",153,"about a dozen"
"he took the",153,"he took the"
"a name for",153,"a name for"
"as the one",153,"as the one"
